companycode,totaloperateexp,reportdate,financeexp,incometax,commreve_commexp,intnreve_tb,tystz,yltz,sumprofit,operateexp,parentnetprofit,operateexp_tb,mkt,indemnityexp,surrenderpremium,sjltz,noticedate,premiumearned,combinetypecode,reporttimetypecode,operateprofit,sjlktz,operatemanageexp,hycode,yyzc,premiumearned_tb,intreve_intexp,eutime,commnreve_tb,operatetax,manageexp,investincome,saleexp,kcfjcxsyjlr,totaloperatereve,totaloperateexp_tb,scode,commnreve,publishname,sname,dataajusttype,intnreve,operatereve
80158478,1279908797.49,2019-12-31T00:00:00,20084707.49,145439810.62,-,-,-0.003174,0.062758,580604968.44,1131449024.04,410298741.87,-0.0130778525894504,shzb,-,-,0.023846,2020-04-16T00:00:00,-,001,001,576163772.97,0.0807240835,-,016016,1131449024.04,-,-,2020/4/15 17:15:04,-,8710752.08,90665762.35,-,28998551.53,259835085.64,1662883330.44,-0.0324621677514704,603167,-,港口水运,渤海轮渡,2,-,-
10001337,1108207978.0,2019-12-31T00:00:00,33383857.24,1418891.24,-,-,-0.134793,-1.759686,-27860478.12,958586764.97,-23894851.71,-0.127367963099006,shzb,-,-,-2.561125,2020-04-16T00:00:00,-,001,001,-26970295.76,-20.1808000489,-,016017,958586764.97,-,-,2020/4/15 18:14:00,-,11013338.91,105020721.97,-,203294.91,-29597033.31,1095013465.27,-0.103138088234558,600463,-,房地产,空港股份,2,-,-
80467497,403154895.82,2019-12-31T00:00:00,5438714.84,9703036.54,-,-,0.177449,0.127572,79987117.76,318667801.12,70284081.22,0.141545202787531,,-,-,0.121767,2020-04-16T00:00:00,-,001,001,80783486.48,0.134993082,-,016061,318667801.12,-,-,2020/4/15 18:21:03,-,5089913.34,29327446.46,-,24239643.96,63296746.58,479650905.3,0.191358647523453,688138,-,专用设备,清溢光电,2,-,-
80116303,17129587443.06,2019-12-31T00:00:00,639044801.48,3979324202.48,-,-,0.057248,0.164939,15916573981.69,16103160941.95,11937249779.21,-0.0120264976713839,shzb,-,-,0.16484,2020-04-16T00:00:00,-,001,001,15916755560.45,0.1626068115,-,016003,16103160941.95,-,-,2020/4/15 20:16:56,-,100529934.48,269179120.89,-,-,11913464045.03,32942166554.6,-0.0247142585575875,601816,-,交运物流,京沪高铁,2,-,-
80329910,520451163.14,2019-12-31T00:00:00,2747187.26,12363383.49,-,-,0.002283,-0.204377,88264652.98,420039064.02,75901269.49,0.0402356067773876,shzb,-,-,-0.223578,2020-04-16T00:00:00,-,001,001,88773770.58,-0.2322680798,-,016035,420039064.02,-,-,2020/4/15 17:14:02,-,2832552.47,47405595.25,-,26996912.72,65522048.5,610967607.07,0.0461325239776721,603917,-,汽车行业,合力科技,2,-,-
80028187,4179234919.1,2019-12-31T00:00:00,801254.41,356458855.12,-,-,0.535448,0.223353,1900878805.18,3380217850.45,1083512752.7,0.665984938316346,shzb,-,-,0.107706,2020-04-16T00:00:00,-,001,001,1900281387.13,-0.1273822479,-,016017,3380217850.45,-,-,2020/4/15 20:28:42,-,456321035.19,243100250.96,-,95327500.23,729416664.96,5310784512.4,0.674558509484536,601512,-,房地产,中新集团,2,-,-
80622218,184334309.87,2019-12-31T00:00:00,175914.71,4829872.96,-,-,0.052099,-0.424344,45093544.87,116740432.18,39888737.06,0.0287736928280894,cyb,-,-,-0.461169,2020-04-16T00:00:00,-,001,001,44911678.08,-0.0846668888,-,016034,116740432.18,-,-,2020/4/15 19:46:57,-,1464249.98,27811310.78,-,11891747.84,34775283.66,224684826.5,0.0889838537012817,300722,-,航天航空,新余国科,2,-,-
80161023,939357817.93,2019-12-31T00:00:00,85457688.57,-92348581.14,-,-,-0.417566,-2.575163,-364206247.15,734631218.39,-259368579.84,-0.128674592662494,cyb,-,-,-2.379418,2020-04-16T00:00:00,-,001,001,-365210003.72,-2.3596603384,-,016020,734631218.39,-,-,2020/4/15 20:45:06,-,2530573.74,101735782.56,-,6242311.95,-257898943.89,757037879.84,-0.0850181972708069,300208,-,输配电气,青岛中程,2,-,-
80373089,397048064.4,2019-12-31T00:00:00,10937822.41,2069417.46,-,-,-0.008921,-4.278596,16521641.82,212260902.24,12015931.87,0.0244774245705219,zxb,-,-,-0.350949,2020-04-16T00:00:00,-,001,001,-141472925.24,-47.156547732,-,016014,212260902.24,-,-,2020/4/15 20:11:36,-,4231249.35,65026104.86,-,23721118.62,-136065096.61,398731281.54,0.038356011941789,002829,-,电子信息,星网宇达,2,-,-
80509330,613437898.4,2019-12-31T00:00:00,6652829.86,6249300.18,-,-,0.128768,-0.203388,58785935.45,482170491.71,52506750.84,0.150807482464527,zxb,-,-,-0.279508,2020-04-16T00:00:00,-,001,001,58073695.19,-0.1981779654,-,016043,482170491.71,-,-,2020/4/15 20:30:32,-,3499817.94,41651106.95,-,45978947.55,46424353.52,676189942.13,0.161802294559897,002896,-,机械行业,中大力德,2,-,-
80279560,375927428.54,2019-12-31T00:00:00,-4797380.23,8983130.53,-,-,0.383016,0.050953,77501500.93,287993237.09,66573120.12,0.399753333184419,,-,-,0.095447,2020-04-16T00:00:00,-,001,001,74925894.45,0.1034160041,-,016024,287993237.09,-,-,2020/4/15 21:16:08,-,150133.58,36492333.09,-,27901219.53,58411632.24,449392825.85,0.440216223848135,688202,-,医药制造,美迪西,2,-,-
80329954,1029104028.33,2019-12-31T00:00:00,-12024894.14,16158907.77,-,-,-0.044888,-0.326499,145623928.45,903236584.52,129465020.68,0.00193874898224888,shzb,-,-,-0.289526,2020-04-16T00:00:00,-,001,001,145246431.89,-0.2826194938,-,016043,903236584.52,-,-,2020/4/15 16:29:32,-,5180657.76,46869502.38,-,37413213.03,129188735.59,1175301034.32,0.0101050746282355,603339,-,机械行业,四方科技,2,-,-
81002870,210026833.52,2019-12-31T00:00:00,7326516.21,6996185.12,-,-,0.079776,0.133755,58619095.7,133186346.08,51622910.58,0.0213067159411199,,-,-,0.103964,2020-04-16T00:00:00,-,001,001,57418146.77,0.1266876739,-,016040,133186346.08,-,-,2020/4/15 21:03:05,-,3933918.72,24351700.4,-,12241453.41,48878873.32,268078301.1,0.0832120320943718,688021,-,材料行业,奥福环保,2,-,-
